author,author_id,comment
Eko Purtjahjanto,ekopurtjahjanto,ini pasti saudara yohanes... mirip mirip 😁😁
Dandi Ardiansyah,dandiardiansyah47,"sblm jadi polisi kalian rakyat jg kan? tolonglah kali ini hrus ikut bela rakyatnya . ga selamanya kalian jdi polisi jga, pasti balik lgi ke setelan rakyat."
Beli lagi shope,cantique_storee,"Kenapa setiap ada demo dpr dan presiden tidak pernah muncul , dan polisi selalu melindungi dpr"
Jalur langit,indones87,"Masih banyak yang belum tau
Rencana Prabowo Subianto,
Banyak yang bilang kenapa presiden/pak Prabowo Subianto tidak membubar kan DPR, Prabowo bukan tidak mau membubarkan tetapi,, prabowo susah membubarkan DPR karna uu sekarang sudah di rubah, kalo Prabowo melakukan nya nanti nasip Prabowo seperti Gus Dur dilengserkan, sebenarnya niat Prabowo sama seperti gus dur cuma cara Prabowo berbeda karna UU ny beda, lihat Indonesia sekarang seperti apa itu adalah cara Prabowo untuk bisa mendapatkan persetujuan rakyat untuk membubarkan DPR, dengan cara menaikan gaji DPR biar rakyat semakin panas dan rakyat melaporkan ke Prabowo untuk membubarkan DPR, jika Prabowo sudah mendapatkan persetujuan rakyat, Prabowo bisa mengeluarkan dekrit dan membubarkan DPR dengan mudah, cuman rakyat banyak yang tidak tau niat pak Prabowo apa , saya yakin dengan cara itu Indonesia akan maju di tangan Prabowo,dan jika kalian bertanya Kenapa presiden tidak menanggapi soal demo karna presiden menunggu persetujuan rakyat, bukan pak Prabowo sengaja tidak melihat dan mendengar soal demo, dengan terjadinya demo ini niat Prabowo untuk membubarkan DPR sudah mulai berjalan sesuai rencana Prabowo, cuman belum semua rakyat Indonesia tau kalo ini adalah rencana Prabowo,,, saya yakin 100% Indonesia akan maju di tangan Prabowo Subianto"
sk4yyyyy,sk4yuuu,"@hrln.om:@Rayy 🥷🥷⚡⚡:untuk temen"" jangan ada yg make seragam soalnya banyak intel dari stasiun maupun sudirman, soalnya banyak yg ketangkep tadi pas gua di sudirman, info ini untuk anak"" smk/sma/smp yg mau ikut mohon lepas seragam soalnya intel lagi banyak banget lagi mantau anak anak pelajar, kalian pake pakaian yg rada tebel dikit ataupun agar ga keliatan pelajar, udah 20 pelajar ketangkep di polres gara"" si curigain + make seragam saat demo. Udah angin banget sekarang, ini gw peringatin ya hati hati buat pelajar yg mau ikut semangat buat kalian ✌"
SAMBO,stevanodirga,"gk usah demo sana sini,,periode berikutnya semua masayarakt kompak tda usah memilih calon dri partai manapun,,,golput aja"
arfita753,arfita753,"Pake helm,pake kacamata,pake masker,pake jas hujan."
Yohanes,yohaness470,"kalian harus stop demo, tanpa DPR Indonesia akan hancur lebur, DPR sangat berjasa untuk rakyat Indonesia"
Zallsidenim(TA),zalhard67,cek vt gw yg terbaru mobil brimob dah di Kuasain rakyat
gaoida,gaoida,":TOLONG NOTICE INI‼️JANGAN JADIIN PELABUHAN, BANDARA, STASIUN, DAN RUMAH SAKIT JADI SASARAN DEMO!!!!
Objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk gak terprovokasi buat demo ke objek-objek vital ini! Yang susah pada akhirnya kita lagi kita lagi!
TETAP WARAS DAN FOKUS KE TUJUAN AWAL DEMO! JANGAN TERPROVOKASI DAN JANGAN MAU DITUNGGANGI!!!"
inibilaa🧚,ss.bllya_,@iniijaaa:@iniijaaa:ALIHKAN DEMO DI TEMPAT STRATEGIS SEPERTI BANDARA PELABUHAN DAN LAIN LAIN AGAR EKONOMI LUMPUH DAN SUARA KITA BISA DI DENGAR ‼️‼️‼️
Leo,smngkaaa2,maaf klo kita pake kacamata renang bisa ngindarin water canon gk sih?
Malino J Hutapea,malino.j.hutapea,Apa Tuntuan Demo Ini sebenarnya?
Scorpio💫,calmejholdy,Brimob
zip,witczilla,harus kasih tau prabowo supaya prabowo tau ada demo
Yo,ouzelq2,kalo ekonomi sulit jngn naikin pajaknya tapi kurangin tunjangan pejabat nya. giliran BUMN untung para pejabat dapet tukin giliran rugi rakyat suruh nanggung
Be4trusz_,daqire_,"assalamualaikum izin, kalo ada salah maaf, ini ko pada nyalahin presiden ya? dari pandangan gw nih ya, kenapa presiden ga menanggapi karena DPR bisa aja mengusulkan pemberhentian jabatan ke MK, pak Prabowo itu baik loh, janjinya yaitu bakal ngelakuin MBG terlaksanakan ga? ada presiden sebelumnya yang tidak menepati janji, sekarang jangan fokus ke pak Prabowo dulu, fokuskan ke DPRnya aja, perlu diingat, DPR KUAT DALAM MENGONTROL DAN MEMBATASI KEKUASAAN PRESIDEN, MAKA DARI ITU BAPAK/IBU JANGAN SELALU MENYALAHKAN PRESIDEN, KARENA PRESIDEN JUGA DIKONTROL OLEH DPR, JIKA PRESIDEN KELUAR DARI KONTROLAN DPR, DPR BAKAL MENGUSULKAN PEMBERHENTIAN KE MK, maaf kalo ada yang salah"
🌹,dasya22933,simple aja nanti pemilu tahun 2029 ga usah coblos anggota dan ketua dpr
zahvizah1990,zahvizah1990,"presiden kalo kaya gini tutup mata, mana akun gerindra?? diem aja"
Agung Rizki Maulana,agungmaulana817,"pak presiden dan wakil presiden, apakah kalian tdk kasihan dg rakyatmu seperti perang melawan sesama wrga indo .."
zdhlaaa,zadhila99,STOP DEMO mending jngn bayar pajak serentak cara pling the best sih mnrutku
Umakk,risnabar,sejak dulu polisi itu tidak di pihak rakyat....
lolymesa,lolymesa,ini polisi Israel
minull,n26nuyy,kau liat di vt atas ada mahasiswa yg tangannya p*tah krn ikut demo ini😬 kasian bnr ih mana msh muda lgi
sally萨莉 🇮🇩🇲🇴🇨🇳,xviixmpuppy,Tau kan presiden kalian buta mata&hati?
meggie_wijaya,meggie_wijaya,"bener bgt kak presiden pelanggar ham diam2 aja santai aja rakyat nya dilindes. Indonesia butuh REFORMASI! jangan cuma dpr yg di bubarkan, presiden & wapres, menteri nya juga. dan saat rakyat berjuang, mereka sibuk kasih penghargaan ke penjahat2 eh pejabat, puan dpr, menteri korup, teddy dll. emang bener itu sudah di jadwalkan, tapi kan bisa di mundurkan saat hari itu rakyat menyampaikan aspirasi ke pemerintahan"
Apple Keroak Purwokerto V.4,jtphonestorepurwokerto,nonton live tiktok sambil ketawa tawa lah pake ditanya
NS Karpet,hesty.okt21,bnr bngt😭
yella alvita,yellaalvita1,benar sekali😭
Ammyangkasa,ammyangkasa,kata Sri muliani klu gk byr pjk nti mau urus apa apa dipersulit.
ꦩꦲꦺꦤ꧀ꦢꦿ,gladiator_1950,"mau bayar pajak aja juga dipersulit
contoh 5 tahunan ada aja calo nya"
Dindin,dindakhrnssa_,"jgn kan bayar pajak, kalau ga bayar kompensasi sm RT aja dipersulit kalau mau buat sesuatu😂"
@Arif,dadaarif07,which country?
nofal,setyoworo.m,Ya memang seperti itu yg sudah berjalan
Endah Nurhayati,endahnurhayati09,pantesan miris banget pemerintahan...mau nya rakyat tuh bodoh tolol
Rief,rief0777,lah bukanya apa² udah sulit ya🤭 mau urus apa aja susah di oper kesana kesini
bunga,fitriz.fr15,pantesan aja dr td g liat
Nawirah Al Katiri,nawirah.al.katiri,segitunya sampai di blokir 🥺🥺🥺🥺
Bolon,bolonkuada8,selama ini kan mmg sulit
Gus surdoyo,gus.surdoyo,"ayooo semua masyarakat turun,,ayo gabung dengan ojol semua turun,, mereka yang seragam tidak boleh pukul/bunuh masyarakat tapi jaga masyarakat,,ayo turunkan 10juta masyarakat,,bagi 20 titik demo,, supaya polisi tidak berkumpul satu tempat,, supaya anggota mereka berkurang ,.,,.."
selviiia_,selviiia_,"The Indonesian government is silencing the media because they fear the truth. Our government is sick, stupid, and shameful. Indonesia is being oppressed by its own leaders."
miao😼,pengguna8385,semua Liputan TV auto di Bungkam. jd berita hanya lewat Sosial Media. Biar gk keliatan sama LUAR NEGRI🤣🤣
𝓜ⓞᗰ𝓢Ⓚ𝔦𝔢🐝,cancer.id282,"Mau nya manut terus kek nya, rakyat gk boleh komplain😪"
ottohalu,ottohalu,sinyal jamming
∂σηιмια2628🇮🇩,roemydonimia,"iya bener, barusan sy nonton live demo, lagi panjat pagar DPR tp seketika hilang livenya,,entah knp"
不知道,wwtik.con,P
arfita753,arfita753,Kacamata renang
Beta Pattinama,kkkpattinama,"Itu pake air bertekanan tinggi, pake baju selam lengkap juga gak efek 😅 yg bener pake baju Iron Man..."
🌸,svira25162738,🗿
Hengki Prayoga,hngkypryg,percuma bg tetap kepental liat aja noh
R.Lukman Heryadi,zahrikikim,"akunya banyak tuh si Yohanez,"
euis_ci anjur,euis_we,ini orang selalu ada di mana2
famurastore9,famurastore9,"nah baru bener ini media itu harusnya menyiarkan momen panas negara bukan malah sinetron-sinetron,gosip dan dangdut"
Febryts,febryts,"Gimana perasaan org2 DPR itu ya ..gk ada kah merasa bersalah karna ini semua ulah mereka,gara2 mereka masyarakat harus bentrok sama aparat.🥺🥺"
kade,kadepanakaltu,sampai skrng mungkin menteri atau sbagian dpr blom tau kalo ada demo😁😁krn mereka sibuk rapat dan daprt penghargaan dr pak presiden..😁
zhou ye,zhouye_nita,ya Allah polisi bener2 lu ye di tim pejabat
"Prof.DR.YOHANES S,hi.Bum,N.Tdk",yhnes8,alangkah baiknya kita demo pak Prabowo
MUHAMMAD SANG YATlM😹,muhammad.sang.yatl,bapak gua dpr tapi gua tadi ikut demo😹
Dhea Aulia 308,dhea_aulia308,"Demo di depan gerbang wakil rakyat itu hanya simbolis. Di Jerman pernah ada demo di bandara. Ketika bandara lumpuh, demo sehari saja langsung didengarkan. Karena kaitannya sama kepentingan internasional. Pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing.
Pelabuhan, bandara, jalur perdagangan utama lain itu vital..... Lha kalau demo di jalur lambat ya cuma jadi tontonan. Kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. Ini juga bisa berdampak. Cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis?"
Sarung An Noon,sarung_annoon,kalo dpr mau keluar dan bicara ke pnedemo ga bakal rusuh.. kenpa harus takut keluar udah di baking polisi dengan perlengkapan yang sangat aman.. emang dasar ga mau dengerin aspirasi rakyat saja..
nuni,user8547815819477,"inti y jngn byar pajak,kita ini bangun tidur langsung mikirin pajak😭mau makan pajak,jalan ,pajak,rumah pajak,kebun pajak,usaha pajak,beli sembako pajak,kendaraan pajak,.DPR sejahtera !kita pusing besok makan ap ? ap ap d pajakin,,..bukan negara indonesa ini,tapi negara PAJAK...negara ancur..."
Fredo Castello 59,im.pabloecooobar,KEREN POLISI NYA MANTAAPPP 🫡🫡🫡
Alfazyan harahab🎫,alfazyan.harahab,"MEREKA TURUN,N MOBIL AIR,MARI KITA PANGGIL MOBIL SEDOT WC"
YOHANNES JUNIOR,ahmadmutohar77,cuma air kok takut
Aya Nur Loroz,ayanurloroz,"buat kalian yg demo memperjuangkan keadilan negri ini,, sehat"" kalian trimakasih dr kami para IRT yg tdk bisa trun ke lapangan😭"
"""Tsukasa""",ace98381,"nyesel gua milih Prabowo
seolah olah tidak tahu ini demo
suarakan laah Prabowo cukup satu periode aja"
Himechan,ichasatriavi,Gimana kalo emak emak yg berdiri di atas mobil sambil bawa toa?
seratus,bara5033,ow ini alesan kenapa GK boleh live biar bebas ngelakuin ap ja y PK 😭😭😭🙏🙏🙏
Rahma Syihab,lionela01,"demo dmna² artinya negara di pimpin prbowo gibran ancur
yg comen jgn salahkan persiden wooy liat tuh d istana wowo lagi bagi² penghargaan sama orang² yg kita demoin"
Rujak yukk,bakulruj4k_,"harusnya jgn d gedung DPR, di bandara suekarno pasti pejabat ketar ketir"
Opipollaa 🍉,opipollaa,"Inget ga klean tahun 2019 pas wowo kalah kedua kali, pendukungnya demo sampai ada yg meninggal, tp ga ada ucapan apalagi tindakan dr wowo terhadap korban/keluarga korban? Malah ga lama dia gabung sm wiwi kan, jd menhan. Dr situ udah keliatan kl dia emang ga punya empati."
prabu,prabu_348,"polisi vs rakyat,,, anggota DPR RI lagi tertawa melihat ini😂😂"
Dhanzz,dhanzz.24,gw yakin sinyal ditempat itu sudah dioprek agar tidak ada yg bisa live karena tidak ada sinyal
putra jual truk,jualtrukbekas_,"ini mah demo antar rakyat, wakil rakyat nya lagi makan sate ular sambil nonton live tiktok"
Indraper,doayangsama,"Harusnya pemerintah mikir kalo sering demo begini, perlu tindakan apa."
Essie🍁,my_girlfriend007,PAK OMON OMON LIHAT RAKYAT MU PAK......😔😔😔😔
Boedy Sulistyawan,boedysulistyawan,"Pak Prabowo Lihat ini Rakyatmu,mreka marah atas kebijakan yg Pemerintah Buat,Hidup Rakyat🔥🔥🔥"
Tuty Indriyanti,tutiindriyanti15,biasa kerja sambil tidur. sekalinya bangun buat masyarakat hebohhh🗿
Agung Rizki Maulana,agungmaulana817,"kalo sekiranya tidak bisa mengkabulkan keinginan rakyat, setidaknya buatlah seluruh rakyat indo adil dan makmur sprti yg sudah tertera dlm pancasila"
pikkyblender,pikkyblender,jadi ini lu nuntut nya ke eksekutif atau legislatif ? ini demo ke DPR atau pemerintah ? jangan jangan lu gak tau soal trias politica ?
Agung Rizki Maulana,agungmaulana817,"kalo lu bilang jgn"" lu gak tau soal politica, helloo aku hanya mengutarakan isi hati stlh liat vdeo ini, apkh lu ndak bs liat sprti rkyat vs polisi"
Agung Rizki Maulana,agungmaulana817,"lu sdar gk plisi or aparat dan rkyat itu siapa ? sesama wrga indo, klo cara coment lu sprti itu seakan lu pnter plitik nyatany bkin kalimat lu nda tau"
pikkyblender,pikkyblender,"jadi mau pake ""aku kamu"" atau ""gua lu"" ? 😌"
lala_solekah,lala_solekah,gak...ngapain kasian😂d buat2 sendiri kok😂kurg kerjaan ja
NdaPutra,dez.higuain,iya
sanjawita,sanjapu,iya kakynya
Amelia1978,1978lianafandy,nah itu dia
raa,itsme_aul28,"halo kaa. Boleh gk nitip sesuatu, nanti pas demo tolong infokan kalo kena gais air mata cuci muka pakek air yang dicampur garem non yodium atau susu atau air mengalir. Jangan pakek odol nanti tambah iritasi mata mereka. Sama kalo keisep pakek kain basah tutup mulutnya. Soalnya liat temen temen yang demo pada sesek. Yang perempuan mau bantu share info ini biar pada save. Semangat yang demo."
pinkmega🔮,pingkimega,Gaes cukup jangan demo di gedung dpr percumah kalian gabisa ketemu langsung sama pejabat2 nya drpda kalian kenapa2 plisss takut lebih banyak memakan korban sedangkan yng kalian demo dirumah duduk tenang sambil menyaksikan kalian diTV kalau mau demo langsung kesalah satu rumah dpr saja !!!!!
King Tiger,kingtiger_95,"Demo lawan DPR ❎
Demo lawan polisi ✅"
Ã𝓃𝕒𝔫𝔡ａ,ananda_juli93,"gw malah heran dr awal Demo smp ad Korban ojol yg meninggalpun PRABOWO g ad angkat bicara dmedia sm'X,seakan hilang,y Allah pak liat negerimu Lg kacau"
abdoel,ohyeaa83,"gua akuin mahasiswa dan lain"" hebat mereka berani bersuara, tapi kalo sampe ngerusak fasilitas kan sama aja itu kan dari uang pajak kita"" semua lho walaupun ga semua fasilitasnya bisa di pake😂"
Ibuk Kara | Ibu Serbaguna,windygaris59,Ini yg di demo lagi makan enak sambil nontonin sosmed aja..
𝙔𝙤𝙪  𝙊𝙠 𝙁𝙞𝙣𝙚𝙚,akuntiktokowen,":anak muda umur 21 tahun ini ngak ikut demo cuma nganter pesanan buat menghidupi keluarga sama bayar kuliah,kata keluarga nya sebenarnya dia anak yang pemalu dan penakut tapi kehidupan dan cita-citanya memaksa dia harus berani buat mimpi yang layak,namun mimpi itu lenyap dalam semalam."
░ＢΛＲΛ_ＤＩΛＺ░,abribukan.cepakdoang,"Suara Rakyat sudah tidak ada Harga nya lagi kalo udah seperti itu,mau aspirasi saja sudah begitu,,, mau dibawa kemana lah Indonesia ini,,"
Dilaraayuuu🎀,dilaraayu_,"tv adem ayem aja deh, tiktok juga gada aksi demo yg sliweran"
Reza Maulana,rcaezaar,DPR P nya apa???????
rober7op,obetantouw,yg di demo dpr yg jdi sasaran fasilitas umum dan polri 🤣
🇵🇸_P_A_S_T_E_B_A_R_🇵🇸🇮🇩,_p_a_s_t_e_b_a_r_,"miris melihat Indonesia sekarang 😭😭,
aparat yg katanya dan seharusnya melindungi dan mengayomi masyarakat,
justru skrg menjadi musuh besar di setiap suara yg di lantangkan hanya utk mencari keadilan.
😭😭😭😭😭"
🦋,naluw885,"presiden udah bener diem bae. ntar mndkung rakyat dibilang prvokasi atau dukung dpr malah dibilang ga pro rakyat. repot.
kalo tujuannya dpr ya dpr aja kali.
karna berkali-kalipun ganti presiden klo dpr nya ttep ya sama aja"
Yhofi,yhofiulandari04,abg semua2 kalau ikut demo pakai kaca mata yaaa biyar tidak kena air ituuu kasiaaa
AdeB,adnamulll.1,"Bukti DPR tidak berfungsi adalah banyaknya aksi demo, setiap hari ada demo bahkan ada demo sehari 3 X"
tasyaaluv,tasyaluv66,Gua yang Habis wd 66jt bilek🤪🙈
kykyky,rizkyprdn_08,"kaya di adu sama dpr jadi ya wkwkw
rakyat vs polisi sedangkan DPR dapet cuti krna adanya demo dan uang Mereka jalan lancar"
vavanuraeni,vavanuraeni,"Ya Allah Ya Rabbi
Allahuakbar
sudah plis sudah aku gk tega
kalian jd perang sdr
kalian mati2an demo para anggota dpr lg nonton sambil minum kopi kyk ny"
mas.andiiiiiiii,msandikkk,wowkwowk di adu sama pejabat polisi VS rakyat 😂
🪐ELLJIO👶🦥🌈,semmydimastrio,ini serius ni presiden ny diem aja?? seriusan ini!??
Ama,wadhonsunda,rakyat ga bakal gini kan kalo DPR nya bener
Galery heni,hnp_ayyn,Yg didemo pura2 budek
Deanee 🫧,yeppeoippeo,baru kali ini blm genap setahun pemerintahan udah sering di demo🤣
Jatmicooo,mikooredy,PRESIDENNYAA KEMANAAAA? 😭💔
Anggi√™,anggihaevani,polisi emang dari dulu udah bjngn bngt
ARL•,asyharil7,tetap demo sebar luaskan berita ini jangan mau di bungkan dan di tindass
Snowflakes,longkkeee,"Lur, kenapa selalu gini?? Yg byr pajak adl target sama yg dibayarin pake uang pajak😅😅😅"
sndjdjjd123w2,nothing._357,"kagak usah percaya presiden, ingat dia mau menumbalkan rakyatnya dengan jadi percobaan obat, apa lagi ini demo"" mana peduli. mending pulang ke rumah yasinan berjamaah. moga"" doa kalian terkabul."
AHMAD,ahmad_maulana3051,bntar lagi hancur Negara ini😭😭😭@gerindra
Saik_Ajik*★,_jalan_pulang_0,kamu percaya? lucu 🤣
setan,your.only_0,hduh ini video kpn..
DNL,dnl27148,စစခြင်းပေိုက်ကြီးနဲ့ဖြိုခွင်းရင်နိုင်ငံမပျက်စီးဘူး
थापा काजी 🫶❤️‍🩹⚔️,sushilthapa095,यदि म त्यहाँ भएको भए सबैभन्दा पहिला यो दमकलको यो पानी चलाउनेलाई घाँटी दाबेर मार्थे।
god lovers  ❤️❤️❤️,shiluchetree,हे पशुपति नाथ हे मेरो भोले बाबा सबै रक्षा गर पर्भु🙏
basmicebong,basmicebong,harusnya demo nya di rumah anggota DPR masing masing
CahayaShop05,cahayakhumaira_21,katanya di persilahkan demo tapi malh gini 🥹
Zidan JR ♍,zidan17177,g perlu demo lagi kasan kalian dan kluarga kalian.. kita sepakat jangan pernah nyoblos pemilu selamanya
Dhanu Adhikari,dhanuadhikari3,"@Dhanu Adhikari:@Dhanu Adhikari:@Dhanu Adhikari:चाइनामा केपी ओलीले राष्ट्रपति राखेको अडान लिपुलेख लिम्प्याधुरा र कालापानी भूभागका बारेमा लिएको चट्टानी अडान र
चाइनामा केपी ओलीलाई गरेको सम्मान ले भतभती पोलिएका विशेषगरी भारतबाट पालिएका नेपाली नेता, र भारतीय प्रधानमन्त्री नरेन्द्र मोदी लाई असह्य पीडा भएको थियो यहाँ सँगसँगै रासवपा,र राजावादी हरुपनि छटपटाइरहेको परिस्थिति मा यी कलिला मुनाहरूको नाममा आन्दोलन गर्ने र आजको जेनजी युवा पुस्ता समेत सरकारबाट निरुत्साहित छ दुःखि छ
भनेर नकारात्मक संचार गराई देश तथा विदेशमा समेत युवा पुस्ता पुरानादलहरूबाट
विक्षिप्त छन् भन्ने भाष्य निर्माण गर्ने हरु प्रति हामी सचेत युवाहरूको खबरदारी छ।
जेन्जी युवा पुस्ताहरूले आफ्ना कुराहरु राखुन् उनीहरूका कुरा सुन्न सक्नुपर्छ उनीहरूको मागलाई सम्बोधन गर्न सक्नुपर्छ। तर यसो होइन कि देशमा केही नभएको हुँदैछ हुन बाँकी छ सामाजिक सञ्जाल सदाका लागि बन्द भन्ने होइन कानुनी दायरामा ल्याइसकेपछि यथाशीघ्र खोलिने कुरा सचेत गराइकन भइरहेका कुराहरूलाई उचालमुछाल गर्दै कतिपयले आफ्ना भ्युज बढाउन कमाउन रमाउन त कतिपयले नकारात्मक सन्देश अब्बाह फैलाउन नाटक गरेको देखियो। उदेग लागेर आयो।"
Amy Marita Lee,amymaritalee,DPR katanya wakil rakyat tp kok ga ada yg keluar temui org yg demo ya
J,jhum1995,ya allah lindungilah adik2 kami yang sedang demo
Maemunah 1964,maemunah1964,ya allah yg demo semoga allah lindungi baik baik semua pda selamet ya lindungi amiin astagfirullah halaziim bp polisi jng galak pak sm rakyat rakyat cuma pengen hidup sejahtera cari kerja gmpang jgn di persulit itu ajh
putri novaria,putricantik180,Rezeki hari ini habis cair 𝟯𝟳𝗷𝘁🥰🥰
Susilauwati,susilauwati8,jgn bayar pajak rakyat ditindas
Kayla hanum,kiki.rizqie,Mana yg katanya gedung dpr terbuka lebar buat rakyat? 😂
Yeulby.,clipnaf_galipat,POLISI LAGI CARI MUKA BUAT NAIK JABATAN
Pipit Herawati,phidutt06,ya allah kasian bgt itu ada yg keseret air🥺
riska🍃,riskaherdiana3007,Semoga yg demo dlm lindungan Allah
yN_ar,yuniar_s,mana nih admin gerindra diem diem bae
St.Nuryani,ratuzziharkah,SAMPAI JUMPA DI PENGADILAN ALLAH 💔
Xyz,danzyeager77,katanya pintu dpr terbuka lebar🤭
Sialosialoperez,sialosialoperez5,Prabowo lihatlah ini karena kamu naikan gaji dpr secara tdk masuk akal buatlah kebijakan yg adil kalau mau naikkan gaji dpr jgn terlalu banyak
GAYAKU TRENDY BUTIK 🌻,koleksi_fashion168,sedih liat keadaan konoha saat ini
KDM,kang_the_moel,"Seharusnya pemerintah dan DPR segera merespon, Kasian Polisi didepan dengan Masyarakat harus bentrok setiap hari 🥺🥺🥺"
Rangga•,nonamerider17,polisi polisi
AFX_Art,afx_art,undang kkb join bang
puddingmatcha 𐙚,puddingmatchaaaa,bahkan admin gerindra yang dulu nimbrung di tiap komen jg gada tanggapan
salatraxx,dillsalatraxx,DPR kerja mati matian demi kalian.. ini balasan kalian untuk mereka? 🥺🥺
mrquanghuy,mrquanghuy,"Nhiều quốc gia đang ctranh. Mình con dân đất Việt Nam hôm nào cũng phải nghĩ ăn món gì, đi đâu chơi. Thế mới thật sự quý hoà bình và ngàn lần biết ơn sự hi sinh cao cả của cha ông 🇻🇳❤️"
EL DA,elya.aida,"STOP jangan demo lagi demi keselamatan kalian,
cukup kita berhenti bayar pajak + jangan datang ke pemilu sampai kapanpun,"
icharizqy,icharizqy,sudahlah tdk ush demo lgi buang2 waktu energi kalian sayangi nyawamu kawan toh para pejabat g da yg perduli
AHMAD,ahmad_maulana3051,Joget OKE GASS😌
renoblack22,renoblack22,Loh pada bilang di komen katanya ini strategi Prabowo sengaja menaikan gaji pejabat agar rakyat demo ke DPR. rakyat sudah nuruti rencana demo ke DPR kog malah dibenturkan dg aparat? tanggung jawab dong yg bikin rencana 😂
balibohara,balibohara,🚩
kalikaadhikari12334,kalikaadhikari12334,कठै बरिलै हामी देख्नेलाइ त आँखा ओभानो भको छैन ।भोग्ने आमा बाबा लाई कस्तोभको होला।थुक्क नालाएक नैतिक हिन हत्यारा सरकार
kalyani pun 123,kalyanipun2,नेपालीहरूलाई मर्न नेपालीपूलीस हेभगबान🥀
joko.wadidaw,joko.wadidawww,selesai demo pasti kita jadi makmur sentosa bahagia dunia akhirat
Kak Ell❤️,kak.ell56,"Kalo kek gini demo sampe mencret pun gak akan ada hasilnya saudara ku😔😔😔, pikirkan keselamatan jiwa raga kalian,ada kluarga menunggu kalian pulang. Kita kerja aja dan jangan bayar pajak, serta pemilu kedepan jangan pilih lagi DPR 😔😔😔👍"
irhamnayaarhamarohimin,muhammadirham5434,"selamatkan para pendemo dan kabulkanlah apa yang diharapkan pendemo,,,,,kasihan dprnya diam saja,,,,"
Rina herlina,jhejhe459_,"sebaiknya kalian pakai helm biar aman klw kena semprot,semangat ya putra bangsa teruskan perjuangan kalian perjuangan kalian ga akan sia2"
mely,user5452251201719,kasian saudara2 ku yg demo klu pra penjaga BKN menjaga rakyat yg berjuang.tpi LBH menjaga yg byk duit
Amoy,pipitsrahayu0,demo terbesar kita adalah stop bayar pajak👍
